Grid,Date,Burrow or other,Comments,GPS code,Precision,X (west-to-east),Y (south-to-north),Mean X (west-to-east),Mean Y (south-to-north),DATUM (original PS56=yellow),Huso,Mean X (WGS84),Mean Y (WGS84),Scaled X,Scaled Y,,,,,,,,,,,,,,,,,,
,12-Nov-21,14,,192,3,325144.0,6291728.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,14,,261,3,325144.0,6291725.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,39,,R39,3,325094.0,6291741.0,325094.7,6291742.0,wgs84,19,325095,6291742,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,39,,193,3,325096.0,6291744.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,39,,263,3,325094.0,6291741.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,27,,R27,3,325085.0,6291749.0,325086.0,6291749.0,wgs84,19,325086,6291749,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,27,,195,3,325088.0,6291749.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,27,,264,3,325085.0,6291749.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,42,,R42,3,325069.0,6291690.0,325069.7,6291690.7,wgs84,19,325070,6291691,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,42,,188,3,325071.0,6291691.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,42,,257,3,325069.0,6291691.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,40,,R40,3,325052.0,6291722.0,325051.0,6291722.0,wgs84,19,325051,6291722,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,40,,194,3,325051.0,6291721.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,40,,265,3,325050.0,6291723.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,18,,R18,3,325108.0,6291745.0,325107.7,6291744.7,wgs84,19,325108,6291745,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,18,,196,3,325108.0,6291745.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,18,,262,3,325107.0,6291744.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,20,,R20,3,325122.0,6291774.0,325121.7,6291775.7,wgs84,19,325122,6291776,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,20,,197,3,325121.0,6291777.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,20,,266,3,325122.0,6291776.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,8,,R8,3,325143.0,6291776.0,325143.3,6291777.3,wgs84,19,325143,6291777,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,8,,198,3,325144.0,6291779.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,8,,267,3,325143.0,6291777.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,21,,R21,3,325146.0,6291813.0,325147.0,6291816.0,wgs84,19,325147,6291816,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,21,,199,3,325149.0,6291820.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,21,,268,3,325146.0,6291815.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,22,,R22,3,325158.0,6291805.0,325159.0,6291806.0,wgs84,19,325159,6291806,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,22,,200,3,325160.0,6291807.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,22,,269,3,325159.0,6291806.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
