"","id1","id2","n","n_behave","n_scan","actor.obs","subject.obs","ave.obs","frequency"
"72","7072","7462",1,1,0,29.5,13.1666666666667,21.3333333333333,0.046875
"73","7072","7472",1,1,0,29.5,33,31.25,0.032
"74","7083","6937",6,3,3,27.3333333333333,20.3333333333333,23.8333333333333,0.251748251748252
"75","7083","7194",1,1,0,27.3333333333333,38,32.6666666666667,0.0306122448979592
"76","7083","7424",4,2,2,27.3333333333333,32.1666666666667,29.75,0.134453781512605
"77","7083","7475",10,5,5,27.3333333333333,27.1666666666667,27.25,0.36697247706422
"78","7139","7040",8,1,7,36.6666666666667,39.5,38.0833333333333,0.210065645514223
"79","7139","7386",12,7,5,36.6666666666667,41,38.8333333333333,0.309012875536481
"80","7139","7390",15,6,9,36.6666666666667,45,40.8333333333333,0.36734693877551
"81","7139","7410",15,6,9,36.6666666666667,41.6666666666667,39.1666666666667,0.382978723404255
"82","7139","7477",1,1,0,36.6666666666667,4.66666666666667,20.6666666666667,0.0483870967741936
"83","7139","7480",9,2,7,36.6666666666667,42.6666666666667,39.6666666666667,0.226890756302521
"84","7139","7485",17,3,14,36.6666666666667,20.8333333333333,28.75,0.591304347826087
"85","7186","7010",3,3,0,29.3333333333333,44.5,36.9166666666667,0.0812641083521445
"86","7186","7220",4,3,1,29.3333333333333,31.8333333333333,30.5833333333333,0.130790190735695
"87","7186","7227",3,3,0,29.3333333333333,18,23.6666666666667,0.126760563380282
"88","7186","7230",1,1,0,29.3333333333333,16.5,22.9166666666667,0.0436363636363636
"89","7186","7253",7,2,5,29.3333333333333,27.1666666666667,28.25,0.247787610619469
"90","7186","7290",3,2,1,29.3333333333333,8.33333333333333,18.8333333333333,0.15929203539823
"91","7186","7342",1,1,0,29.3333333333333,28.5,28.9166666666667,0.0345821325648415
"92","7186","7456",4,1,3,29.3333333333333,13.3333333333333,21.3333333333333,0.1875
"93","7186","7472",3,2,1,29.3333333333333,33,31.1666666666667,0.0962566844919786
"94","7190","7270",4,3,1,32.5,30.3333333333333,31.4166666666667,0.127320954907162
"95","7190","7302",5,1,4,32.5,39,35.75,0.13986013986014
"96","7190","7345",9,5,4,32.5,30.5,31.5,0.285714285714286
"97","7190","7367",2,1,1,32.5,16,24.25,0.0824742268041237
"98","7190","7407",6,5,1,32.5,31.3333333333333,31.9166666666667,0.18798955613577
"99","7190","7433",2,1,1,32.5,8,20.25,0.0987654320987654
"100","7190","7455",6,3,3,32.5,37.6666666666667,35.0833333333333,0.171021377672209
"101","7194","7233",9,6,3,38,27.1666666666667,32.5833333333333,0.276214833759591
"102","7194","7268",4,2,2,38,26.8333333333333,32.4166666666667,0.123393316195373
"103","7194","7286",6,3,3,38,26.1666666666667,32.0833333333333,0.187012987012987
"104","7194","7295",9,5,4,38,29.8333333333333,33.9166666666667,0.265356265356265
"105","7194","7313",5,2,3,38,30.1666666666667,34.0833333333333,0.146699266503667
"106","7194","7346",2,1,1,38,26.8333333333333,32.4166666666667,0.0616966580976864
"107","7194","7485",1,1,0,38,20.8333333333333,29.4166666666667,0.0339943342776204
"108","7197","6879",1,1,0,0.833333333333333,13,6.91666666666667,0.144578313253012
"109","7204","7218",1,1,0,2.83333333333333,28.6666666666667,15.75,0.0634920634920635
"110","7207","7010",10,4,6,45.6666666666667,44.5,45.0833333333333,0.22181146025878
"111","7207","7072",9,3,6,45.6666666666667,29.5,37.5833333333333,0.239467849223947
"112","7207","7220",2,2,0,45.6666666666667,31.8333333333333,38.75,0.0516129032258065
"113","7207","7222",1,1,0,45.6666666666667,16.5,31.0833333333333,0.032171581769437
"114","7207","7230",7,5,2,45.6666666666667,16.5,31.0833333333333,0.225201072386059
"115","7207","7253",1,1,0,45.6666666666667,27.1666666666667,36.4166666666667,0.0274599542334096
"116","7207","7267",17,8,9,45.6666666666667,35.5,40.5833333333333,0.418891170431212
"117","7207","7328",9,5,4,45.6666666666667,46.5,46.0833333333333,0.195298372513562
"118","7207","7391",1,1,0,45.6666666666667,25.8333333333333,35.75,0.027972027972028
"119","7207","7427",1,1,0,45.6666666666667,49.5,47.5833333333333,0.021015761821366
"120","7207","7453",1,1,0,45.6666666666667,34.3333333333333,40,0.025
"121","7207","7460",8,2,6,45.6666666666667,22.3333333333333,34,0.235294117647059
"122","7207","7472",2,2,0,45.6666666666667,33,39.3333333333333,0.0508474576271186
"123","7214","6879",1,1,0,1.66666666666667,13,7.33333333333333,0.136363636363636
"124","7218","6833",26,14,12,28.6666666666667,22.5,25.5833333333333,1.01628664495114
"125","7218","6879",2,1,1,28.6666666666667,13,20.8333333333333,0.096
"126","7218","7219",1,1,0,28.6666666666667,38.3333333333333,33.5,0.0298507462686567
"127","7218","7221",1,1,0,28.6666666666667,4.83333333333333,16.75,0.0597014925373134
"128","7218","7232",18,8,10,28.6666666666667,25.6666666666667,27.1666666666667,0.662576687116564
"129","7218","7443",1,1,0,28.6666666666667,18.1666666666667,23.4166666666667,0.0427046263345196
"130","7219","7218",2,1,1,38.3333333333333,28.6666666666667,33.5,0.0597014925373134
"131","7219","7232",3,2,1,38.3333333333333,25.6666666666667,32,0.09375
"132","7219","7263",11,3,8,38.3333333333333,50.8333333333333,44.5833333333333,0.246728971962617
"133","7219","7276",2,1,1,38.3333333333333,23.6666666666667,31,0.0645161290322581
"134","7219","7279",15,8,7,38.3333333333333,53.6666666666667,46,0.326086956521739
"135","7219","7315",2,2,0,38.3333333333333,28,33.1666666666667,0.0603015075376884
"136","7219","7427",1,1,0,38.3333333333333,49.5,43.9166666666667,0.0227703984819734
"137","7220","7186",9,3,6,31.8333333333333,29.3333333333333,30.5833333333333,0.294277929155313
"138","7220","7225",3,1,2,31.8333333333333,6.16666666666667,19,0.157894736842105
"139","7220","7253",10,6,4,31.8333333333333,27.1666666666667,29.5,0.338983050847458
"140","7220","7263",1,1,0,31.8333333333333,50.8333333333333,41.3333333333333,0.0241935483870968
"141","7220","7290",3,1,2,31.8333333333333,8.33333333333333,20.0833333333333,0.149377593360996
"142","7220","7291",3,3,0,31.8333333333333,26.5,29.1666666666667,0.102857142857143
"143","7220","7315",8,5,3,31.8333333333333,28,29.9166666666667,0.267409470752089
"144","7220","7342",4,3,1,31.8333333333333,28.5,30.1666666666667,0.132596685082873
"145","7220","7355",2,1,1,31.8333333333333,31.6666666666667,31.75,0.062992125984252
