"","id","sex","meanagd","masculinization","mean_bm","n_bm","meanhf","n","bodycondition","mean_escapescore","docility","hr50","hr95"
"119",7344,"F",NA,NA,193.135714285714,14,NA,NA,NA,NA,NA,NA,NA
"120",7345,"F",0.966,"low",193.737931034483,29,23.362,5,0.0881577429886676,0.301341005476986,"average leaving trap",0.033704736328125,0.14209990234375
"121",7346,"M",8.63916666666667,"average",205.783333333333,12,26.1241666666667,12,-0.0281683118253921,0.464569148573488,"average leaving trap",0.0222419555664062,0.0936049682617188
"122",7347,"F",1.3775,"average",212.760869565217,23,24.07,4,0.134627605958897,NA,NA,NA,NA
"123",7348,"F",0.997142857142857,"low",194.231428571429,35,25.5428571428571,7,-0.0503710756630146,0.571656637527479,"fast leaving trap",NA,NA
"124",7352,"F",1.52,"average",165.994444444444,18,22.56,4,-0.0111766845204778,NA,NA,0.4053994140625,2.13287110595703
"125",7353,"M",8.36142857142857,"average",175.471428571429,14,25.1714285714286,7,-0.12879086600773,NA,NA,NA,NA
"126",7355,"M",9.94,"large",177.922222222222,18,23.944,9,-0.0358984651003758,NA,NA,0.041037451171875,0.176478564453125
"127",7359,"F",1.41666666666667,"average",177.2,5,25.0333333333333,3,-0.110292150264033,NA,NA,NA,NA
"128",7362,"M",NA,NA,187.32,5,NA,NA,NA,NA,NA,NA,NA
"129",7363,"M",8.116,"average",208.2,13,24.442,5,0.0887151332738723,0.294697955585408,"average leaving trap",NA,NA
"130",7364,"M",NA,NA,161.33,10,24.87,2,-0.193771936937433,0.339299250607964,"average leaving trap",NA,NA
"131",7365,"M",NA,NA,176.3,2,NA,NA,NA,NA,NA,NA,NA
"132",7366,"F",1.24666666666667,"average",201.32,5,26.1266666666667,3,-0.0502477262013673,NA,NA,0.0663579956054687,0.253402062988281
"133",7367,"F",1.1575,"average",191.511764705882,17,24.18,4,0.0222006317841136,NA,NA,0.058919970703125,0.356509582519531
"134",7369,"M",7.91777777777778,"average",179.417857142857,28,24.36375,9,-0.0549978734398365,NA,NA,0.0459848022460937,0.164669580078125
"135",7371,"M",NA,NA,171.67,10,25.97,2,-0.20006228064809,NA,NA,NA,NA
"136",7379,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
