"","actor","subject","n","actor.obs","subject.obs","ave.obs","frequency"
"45","7218","7443",2,28.6666666666667,18.1666666666667,23.4166666666667,0.0854092526690391
"46","7219","7279",1,38.3333333333333,53.6666666666667,46,0.0217391304347826
"47","7220","7010",1,31.8333333333333,44.5,38.1666666666667,0.0262008733624454
"48","7220","7227",1,31.8333333333333,18,24.9166666666667,0.040133779264214
"49","7220","7255",1,31.8333333333333,33.6666666666667,32.75,0.0305343511450382
"50","7220","7342",2,31.8333333333333,28.5,30.1666666666667,0.0662983425414365
"51","7222","7186",1,16.5,29.3333333333333,22.9166666666667,0.0436363636363636
"52","7222","7204",1,16.5,2.83333333333333,9.66666666666667,0.103448275862069
"53","7222","7207",1,16.5,45.6666666666667,31.0833333333333,0.032171581769437
"54","7222","7342",1,16.5,28.5,22.5,0.0444444444444444
"55","7222","7410",1,16.5,41.6666666666667,29.0833333333333,0.0343839541547278
"56","7225","7253",1,6.16666666666667,27.1666666666667,16.6666666666667,0.06
"57","7227","7220",1,18,31.8333333333333,24.9166666666667,0.040133779264214
"58","7227","7255",2,18,33.6666666666667,25.8333333333333,0.0774193548387097
"59","7227","7290",1,18,8.33333333333333,13.1666666666667,0.0759493670886076
"60","7227","7472",1,18,33,25.5,0.0392156862745098
"61","7230","7328",1,16.5,46.5,31.5,0.0317460317460317
"62","7230","7380",1,16.5,27.8333333333333,22.1666666666667,0.0451127819548872
"63","7230","7455",1,16.5,37.6666666666667,27.0833333333333,0.0369230769230769
"64","7230","7477",3,16.5,4.66666666666667,10.5833333333333,0.283464566929134
"65","7232","7207",1,25.6666666666667,45.6666666666667,35.6666666666667,0.0280373831775701
"66","7232","7263",2,25.6666666666667,50.8333333333333,38.25,0.0522875816993464
"67","7232","7276",2,25.6666666666667,23.6666666666667,24.6666666666667,0.0810810810810811
"68","7232","7443",6,25.6666666666667,18.1666666666667,21.9166666666667,0.273764258555133
"69","7232","7453",2,25.6666666666667,34.3333333333333,30,0.0666666666666667
"70","7232","7477",1,25.6666666666667,4.66666666666667,15.1666666666667,0.0659340659340659
"71","7236","7280",1,23.5,15.3333333333333,19.4166666666667,0.0515021459227468
"72","7246","7324",1,50.5,48.8333333333333,49.6666666666667,0.0201342281879195
"73","7253","7255",1,27.1666666666667,33.6666666666667,30.4166666666667,0.0328767123287671
"74","7253","7380",1,27.1666666666667,27.8333333333333,27.5,0.0363636363636364
"75","7255","7072",1,33.6666666666667,29.5,31.5833333333333,0.0316622691292876
"76","7255","7186",1,33.6666666666667,29.3333333333333,31.5,0.0317460317460317
"77","7255","7220",5,33.6666666666667,31.8333333333333,32.75,0.152671755725191
"78","7255","7227",2,33.6666666666667,18,25.8333333333333,0.0774193548387097
"79","7255","7253",1,33.6666666666667,27.1666666666667,30.4166666666667,0.0328767123287671
"80","7255","7290",1,33.6666666666667,8.33333333333333,21,0.0476190476190476
"81","7255","7315",1,33.6666666666667,28,30.8333333333333,0.0324324324324324
