"","int.ids","degree","strength","between","closeness","ec","pr","network","dom_ec"
"7410...83",7410,10,2.29059335336404,70,0.0610906609250834,0.0416604706050012,0.580556014932803,"proximity",NA
"7424...84",7424,9,1.40044028531004,98,0.061361378213541,0.00282419130007737,0.567322586786593,"proximity",NA
"7425...85",7425,5,0.715651796542867,1,0.035340679430094,0.00115879543630128,0.321977438038567,"proximity",NA
"7426...86",7426,12,2.17814355372544,352,0.0691754700806926,0.044011060643737,0.558665993809266,"proximity",NA
"7427...87",7427,17,1.81382256200367,867,0.076848349281322,0.00625259615942374,0.552345482326803,"proximity",NA
"7430...88",7430,3,0.191122040754502,1,0.0507301837025068,0.000341936307342253,0.143990871597802,"proximity",NA
"7433...89",7433,6,0.833293202269375,3,0.0523491167202636,0.00419667079958112,0.295853090484706,"proximity",NA
"7443...90",7443,11,0.704746191215672,9,0.0687367407385785,0.0127749546428413,0.273411592694808,"proximity",NA
"7448...91",7448,7,1.54938814898137,0,0.0407863901954039,0.00444580851656127,0.477831765938894,"proximity",NA
"7450...92",7450,7,0.802440173220224,6,0.063207906224291,0.0403479028639936,0.292559381508527,"proximity",NA
"7452...93",7452,4,0.780313315702751,0,0.0511828670217858,0.029103254830029,0.288452221638475,"proximity",NA
"7453...94",7453,14,1.46678746973048,286,0.0747379200363394,0.00452802433635038,0.461492323982325,"proximity",NA
"7455...95",7455,11,1.75830101601298,32,0.0604998587210598,0.00748912293625868,0.541862144374005,"proximity",NA
"7456...96",7456,11,1.43148983754585,1,0.0565461729471936,0.00476404298077267,0.44632866023867,"proximity",NA
"7460...97",7460,14,1.66879897888012,152,0.0671284903073843,0.00531350619910748,0.517712719312771,"proximity",NA
"7461...98",7461,7,1.9533025656354,0,0.0479562660513204,0.00566871193650353,0.583880078932558,"proximity",NA
"7462...99",7462,10,1.85312548009831,1,0.061643355335461,0.00180418573693765,0.622915573181292,"proximity",NA
"7472...100",7472,17,1.53595928010757,206,0.0695563057340848,0.00757374179251759,0.478737523482746,"proximity",NA
"7474...101",7474,2,1.08333333333333,0,0.018485144825799,0.0611416118474407,0.324402008420473,"proximity",NA
"7475...102",7475,12,1.80721201211018,342,0.0651763111746973,0.00503998312629494,0.705581726926762,"proximity",NA
"7477...103",7477,9,1.98717356372685,201,0.0548551105883969,0.124513263122126,0.553201654048565,"proximity",NA
"7479...104",7479,6,1.21901629306386,42,0.0470822207569758,0.00247314755504765,0.491147892152599,"proximity",NA
"7480...105",7480,13,1.89865096396278,616,0.0722114456301068,0.0324580686087799,0.499187295572162,"proximity",NA
"7482...106",7482,3,2.33483146067416,0,0.0318523837227042,0.258653993209647,0.580484505125266,"proximity",NA
"7485...107",7485,9,2.10401923169561,0,0.0521758791883951,0.0362365824907882,0.541787412832727,"proximity",NA
"7486...108",7486,1,1.71428571428571,0,0.00494767980242797,0.03622354170676,0.467754114733339,"proximity",NA
"6814...109",6814,3,0.256369856313886,56,0.0629452445175482,0.107748646645645,0.311290799119996,"affiliative",NA
"6818...110",6818,0,0,0,NA,0,0.0645583921452654,"affiliative",NA
"6833...111",6833,3,0.498529129988842,4,0.0515594392763429,0.017343407598793,0.514557123193082,"affiliative",NA
"6879...112",6879,6,0.626526633407312,260,0.0652250814345427,0.00116807160511905,0.261324900124077,"affiliative",NA
