"","id1","id2","n","actor.obs","subject.obs","ave.obs","frequency"
"299","7016","6820",1,14.1666666666667,23.8333333333333,19,0.0526315789473684
"300","7021","6820",0,0,0,0,0
"301","7025","6820",0,0,0,0,0
"302","7027","6820",0,0,0,0,0
"303","7028","6820",0,0,0,0,0
"304","7029","6820",0,0,0,0,0
"305","7031","6820",0,0,0,0,0
"306","7032","6820",0,0,0,0,0
"307","7033","6820",0,0,0,0,0
"308","7038","6820",0,0,0,0,0
"309","7040","6820",0,0,0,0,0
"310","7045","6820",0,0,0,0,0
"311","7047","6820",0,0,0,0,0
"312","7053","6820",0,0,0,0,0
"313","7055","6820",0,0,0,0,0
"314","7056","6820",0,0,0,0,0
"315","7059","6820",0,0,0,0,0
"316","7060","6820",0,0,0,0,0
"317","7064","6820",0,0,0,0,0
"318","7065","6820",0,0,0,0,0
"319","7072","6820",0,0,0,0,0
"320","7073","6820",0,0,0,0,0
"321","7078","6820",0,0,0,0,0
"322","7079","6820",0,0,0,0,0
"323","7080","6820",1,21.6666666666667,23.8333333333333,22.75,0.043956043956044
"324","7083","6820",0,0,0,0,0
"325","7084","6820",0,0,0,0,0
"326","7085","6820",0,0,0,0,0
"327","7088","6820",0,0,0,0,0
"328","7091","6820",0,0,0,0,0
"329","7095","6820",0,0,0,0,0
"330","7098","6820",0,0,0,0,0
"331","7099","6820",3,20,23.8333333333333,21.9166666666667,0.136882129277567
"332","7100","6820",0,0,0,0,0
"333","7102","6820",0,0,0,0,0
"334","7103","6820",0,0,0,0,0
"335","7107","6820",0,0,0,0,0
"336","7108","6820",0,0,0,0,0
"337","7110","6820",0,0,0,0,0
"338","7114","6820",1,21.6666666666667,23.8333333333333,22.75,0.043956043956044
"339","7115","6820",0,0,0,0,0
"340","7117","6820",0,0,0,0,0
"341","7125","6820",0,0,0,0,0
"342","7130","6820",0,0,0,0,0
"343","7132","6820",0,0,0,0,0
"344","7135","6820",0,0,0,0,0
"345","7136","6820",0,0,0,0,0
"346","7138","6820",0,0,0,0,0
"347","7140","6820",0,0,0,0,0
"348","7141","6820",0,0,0,0,0
"349","7145","6820",0,0,0,0,0
"350","7149","6820",1,12.8333333333333,23.8333333333333,18.3333333333333,0.0545454545454545
"351","7166","6820",0,0,0,0,0
"352","7167","6820",0,0,0,0,0
"353","7169","6820",0,0,0,0,0
"354","7170","6820",1,24.8333333333333,23.8333333333333,24.3333333333333,0.0410958904109589
"355","7171","6820",0,0,0,0,0
"356","7175","6820",0,0,0,0,0
"357","7183","6820",0,0,0,0,0
"358","7186","6820",0,0,0,0,0
"359","7191","6820",0,0,0,0,0
"360","7192","6820",3,24.6666666666667,23.8333333333333,24.25,0.123711340206186
"361","7193","6820",0,0,0,0,0
"362","7194","6820",0,0,0,0,0
"363","7196","6820",0,0,0,0,0
"364","7197","6820",0,0,0,0,0
"365","7198","6820",0,0,0,0,0
"366","7199","6820",1,9.16666666666667,23.8333333333333,16.5,0.0606060606060606
"367","7200","6820",0,0,0,0,0
"368","7202","6820",0,0,0,0,0
"369","6814","6825",0,0,0,0,0
"370","6818","6825",0,0,0,0,0
"371","6819","6825",0,0,0,0,0
"372","6820","6825",0,0,0,0,0
"373","6833","6825",1,43,27,35,0.0285714285714286
"374","6837","6825",0,0,0,0,0
"375","6838","6825",0,0,0,0,0
"376","6846","6825",0,0,0,0,0
"377","6862","6825",0,0,0,0,0
"378","6879","6825",0,0,0,0,0
"379","6888","6825",0,0,0,0,0
"380","6901","6825",1,35.6666666666667,27,31.3333333333333,0.0319148936170213
"381","6905","6825",0,0,0,0,0
"382","6911","6825",0,0,0,0,0
"383","6929","6825",0,0,0,0,0
"384","6936","6825",0,0,0,0,0
"385","6937","6825",0,0,0,0,0
"386","6938","6825",0,0,0,0,0
"387","6993","6825",0,0,0,0,0
"388","6995","6825",0,0,0,0,0
"389","7007","6825",1,11,27,19,0.0526315789473684
"390","7010","6825",0,0,0,0,0
"391","7016","6825",0,0,0,0,0
