"","id1","id2","n","n_behave","n_scan","actor.obs","subject.obs","ave.obs","frequency"
"29","6820","7099",7,1,6,23.8333333333333,20,21.9166666666667,0.319391634980989
"30","6820","7114",6,4,2,23.8333333333333,21.6666666666667,22.75,0.263736263736264
"31","6820","7170",5,2,3,23.8333333333333,24.8333333333333,24.3333333333333,0.205479452054795
"32","6820","7192",4,3,1,23.8333333333333,24.6666666666667,24.25,0.164948453608247
"33","6820","7199",6,5,1,23.8333333333333,9.16666666666667,16.5,0.363636363636364
"34","6825","6818",3,3,0,27,32.3333333333333,29.6666666666667,0.101123595505618
"35","6825","6838",1,1,0,27,37.8333333333333,32.4166666666667,0.0308483290488432
"36","6825","7028",1,1,0,27,36,31.5,0.0317460317460317
"37","6825","7029",1,1,0,27,14.1666666666667,20.5833333333333,0.048582995951417
"38","6825","7072",8,3,5,27,39.6666666666667,33.3333333333333,0.24
"39","6825","7088",1,1,0,27,23.6666666666667,25.3333333333333,0.0394736842105263
"40","6825","7107",1,1,0,27,31,29,0.0344827586206897
"41","6825","7115",5,2,3,27,40.5,33.75,0.148148148148148
"42","6825","7166",1,1,0,27,35.8333333333333,31.4166666666667,0.0318302387267905
"43","6833","6818",5,3,2,43,32.3333333333333,37.6666666666667,0.132743362831858
"44","6833","6825",3,1,2,43,27,35,0.0857142857142857
"45","6833","6838",1,1,0,43,37.8333333333333,40.4166666666667,0.0247422680412371
"46","6833","6936",1,1,0,43,25.8333333333333,34.4166666666667,0.0290556900726392
"47","6833","6938",5,3,2,43,24,33.5,0.149253731343284
"48","6833","6993",1,1,0,43,27.1666666666667,35.0833333333333,0.0285035629453682
"49","6833","7010",1,1,0,43,25.1666666666667,34.0833333333333,0.0293398533007335
"50","6833","7027",1,1,0,43,26.5,34.75,0.0287769784172662
"51","6833","7072",13,4,9,43,39.6666666666667,41.3333333333333,0.314516129032258
"52","6833","7107",8,4,4,43,31,37,0.216216216216216
"53","6833","7115",9,4,5,43,40.5,41.75,0.215568862275449
"54","6833","7125",22,14,8,43,39.5,41.25,0.533333333333333
"55","6833","7135",2,1,1,43,22.8333333333333,32.9166666666667,0.0607594936708861
"56","6833","7166",6,1,5,43,35.8333333333333,39.4166666666667,0.152219873150106
"57","6833","7171",14,8,6,43,39.8333333333333,41.4166666666667,0.338028169014084
"58","6837","6995",4,2,2,11.5,22.1666666666667,16.8333333333333,0.237623762376238
"59","6837","7065",11,8,3,11.5,20,15.75,0.698412698412698
"60","6837","7132",3,1,2,11.5,24.8333333333333,18.1666666666667,0.165137614678899
"61","6837","7140",5,3,2,11.5,19.6666666666667,15.5833333333333,0.320855614973262
"62","6837","7141",6,4,2,11.5,21.8333333333333,16.6666666666667,0.36
"63","6838","6818",5,2,3,37.8333333333333,32.3333333333333,35.0833333333333,0.142517814726841
"64","6838","6833",3,3,0,37.8333333333333,43,40.4166666666667,0.0742268041237113
"65","6838","6901",11,7,4,37.8333333333333,35.6666666666667,36.75,0.299319727891156
"66","6838","7028",1,1,0,37.8333333333333,36,36.9166666666667,0.0270880361173815
"67","6838","7115",8,3,5,37.8333333333333,40.5,39.1666666666667,0.204255319148936
"68","6838","7125",8,5,3,37.8333333333333,39.5,38.6666666666667,0.206896551724138
"69","6838","7166",4,1,3,37.8333333333333,35.8333333333333,36.8333333333333,0.108597285067873
