"","actor","subject","n","actor.obs","subject.obs","ave.obs","frequency"
"34","7010","7265",1,44.5,16.1666666666667,30.3333333333333,0.032967032967033
"35","7010","7267",8,44.5,35.5,40,0.2
"36","7010","7324",1,44.5,48.8333333333333,46.6666666666667,0.0214285714285714
"37","7010","7328",1,44.5,46.5,45.5,0.021978021978022
"38","7010","7355",1,44.5,31.6666666666667,38.0833333333333,0.0262582056892779
"39","7010","7427",2,44.5,49.5,47,0.0425531914893617
"40","7010","7448",1,44.5,23.6666666666667,34.0833333333333,0.0293398533007335
"41","7010","7460",2,44.5,22.3333333333333,33.4166666666667,0.0598503740648379
"42","7010","7472",1,44.5,33,38.75,0.0258064516129032
"43","7038","7236",3,26.8333333333333,23.5,25.1666666666667,0.119205298013245
"44","7038","7274",2,26.8333333333333,13.5,20.1666666666667,0.0991735537190083
"45","7038","7280",2,26.8333333333333,15.3333333333333,21.0833333333333,0.0948616600790514
"46","7038","7334",2,26.8333333333333,28,27.4166666666667,0.0729483282674772
"47","7038","7346",2,26.8333333333333,26.8333333333333,26.8333333333333,0.0745341614906832
"48","7038","7369",3,26.8333333333333,23.6666666666667,25.25,0.118811881188119
"49","7040","7139",3,39.5,36.6666666666667,38.0833333333333,0.0787746170678337
"50","7040","7222",1,39.5,16.5,28,0.0357142857142857
"51","7040","7276",1,39.5,23.6666666666667,31.5833333333333,0.0316622691292876
"52","7040","7295",1,39.5,29.8333333333333,34.6666666666667,0.0288461538461538
"53","7040","7386",1,39.5,41,40.25,0.0248447204968944
"54","7040","7390",6,39.5,45,42.25,0.142011834319527
"55","7040","7410",1,39.5,41.6666666666667,40.5833333333333,0.0246406570841889
"56","7040","7426",1,39.5,41.3333333333333,40.4166666666667,0.0247422680412371
"57","7040","7480",3,39.5,42.6666666666667,41.0833333333333,0.0730223123732252
"58","7072","6814",1,29.5,12,20.75,0.0481927710843374
"59","7072","7010",9,29.5,44.5,37,0.243243243243243
"60","7072","7207",7,29.5,45.6666666666667,37.5833333333333,0.186252771618625
"61","7072","7255",2,29.5,33.6666666666667,31.5833333333333,0.0633245382585752
"62","7072","7267",7,29.5,35.5,32.5,0.215384615384615
"63","7072","7328",4,29.5,46.5,38,0.105263157894737
"64","7072","7369",1,29.5,23.6666666666667,26.5833333333333,0.0376175548589342
"65","7072","7448",1,29.5,23.6666666666667,26.5833333333333,0.0376175548589342
"66","7072","7460",3,29.5,22.3333333333333,25.9166666666667,0.115755627009646
"67","7083","6937",2,27.3333333333333,20.3333333333333,23.8333333333333,0.0839160839160839
"68","7083","7190",1,27.3333333333333,32.5,29.9166666666667,0.0334261838440111
"69","7083","7286",2,27.3333333333333,26.1666666666667,26.75,0.0747663551401869
"70","7083","7424",2,27.3333333333333,32.1666666666667,29.75,0.0672268907563025
"71","7083","7475",4,27.3333333333333,27.1666666666667,27.25,0.146788990825688
"72","7083","7479",1,27.3333333333333,16,21.6666666666667,0.0461538461538462
"73","7139","7040",3,36.6666666666667,39.5,38.0833333333333,0.0787746170678337
"74","7139","7276",1,36.6666666666667,23.6666666666667,30.1666666666667,0.0331491712707182
"75","7139","7295",1,36.6666666666667,29.8333333333333,33.25,0.0300751879699248
"76","7139","7346",2,36.6666666666667,26.8333333333333,31.75,0.062992125984252
"77","7139","7369",1,36.6666666666667,23.6666666666667,30.1666666666667,0.0331491712707182
